time_stamp,sitting,standing,walking,grazing,x_0,x_29,x_59,x_89,x_119,x_149,x_179,x_209,x_239,x_269,y_0,y_29,y_59,y_89,y_119,y_149,y_179,y_209,y_239,y_269,z_0,z_29,z_59,z_89,z_119,z_149,z_179,z_209,z_239,z_269
2019-02-04T18:10:43,0,1,0,0,-0.199,-0.184,-0.164,-0.168,-0.164,-0.148,-0.043,-0.113,-0.117,-0.117,0.797,0.781,0.801,0.785,0.773,0.793,0.844,0.801,0.793,0.777,0.586,0.594,0.598,0.602,0.605,0.598,0.578,0.594,0.598,0.566
2019-02-04T18:10:53,0,1,0,0,-0.137,-0.113,-0.141,-0.129,-0.117,-0.133,-0.121,-0.145,-0.105,-0.133,0.832,0.785,0.781,0.777,0.746,0.809,0.781,0.797,0.793,0.785,0.586,0.629,0.625,0.621,0.641,0.543,0.625,0.625,0.613,0.605
2019-02-04T18:11:03,0,1,0,0,-0.109,-0.137,-0.066,-0.102,-0.074,-0.062,-0.023,-0.008,-0.016,-0.062,0.789,0.777,0.711,0.805,0.801,0.805,0.801,0.785,0.793,0.793,0.605,0.605,0.668,0.602,0.586,0.598,0.613,0.602,0.594,0.605
2019-02-04T18:11:13,0,1,0,0,-0.141,-0.184,-0.148,-0.156,-0.141,-0.141,-0.113,-0.109,-0.105,-0.113,0.742,0.738,0.73,0.691,0.695,0.699,0.73,0.758,0.762,0.766,0.66,0.652,0.727,0.719,0.711,0.723,0.664,0.633,0.637,0.637
2019-02-04T18:11:23,0,1,0,0,-0.051,-0.113,-0.105,-0.109,-0.105,-0.109,-0.105,-0.109,-0.109,-0.105,0.781,0.793,0.77,0.773,0.789,0.777,0.781,0.77,0.789,0.793,0.602,0.621,0.621,0.617,0.609,0.621,0.621,0.613,0.613,0.621
2019-02-04T18:11:33,0,1,0,0,-0.105,-0.105,-0.098,-0.094,-0.109,-0.117,-0.109,-0.102,-0.066,-0.086,0.801,0.789,0.785,0.773,0.777,0.777,0.789,0.789,0.82,0.777,0.621,0.621,0.605,0.609,0.625,0.609,0.621,0.621,0.598,0.602
2019-02-04T18:11:43,0,1,0,0,-0.094,-0.098,-0.09,-0.098,-0.078,-0.09,-0.082,-0.082,-0.078,-0.09,0.789,0.801,0.801,0.789,0.789,0.793,0.793,0.793,0.785,0.789,0.598,0.609,0.602,0.602,0.602,0.605,0.605,0.602,0.598,0.598
2019-02-04T18:11:53,0,1,0,0,-0.082,-0.062,-0.066,-0.078,-0.082,-0.066,-0.078,-0.078,-0.078,-0.078,0.793,0.805,0.801,0.797,0.801,0.809,0.793,0.801,0.809,0.801,0.602,0.594,0.594,0.598,0.594,0.586,0.59,0.582,0.586,0.594
2019-02-04T18:12:03,0,1,0,0,-0.078,-0.074,-0.102,-0.074,-0.078,-0.07,-0.082,-0.078,-0.082,-0.082,0.813,0.793,0.797,0.805,0.805,0.793,0.793,0.793,0.797,0.801,0.594,0.586,0.59,0.582,0.586,0.598,0.582,0.598,0.594,0.594
2019-02-04T18:12:13,0,1,0,0,-0.07,-0.078,-0.07,-0.074,-0.125,-0.133,-0.098,-0.109,-0.133,-0.137,0.813,0.801,0.793,0.805,0.781,0.793,0.809,0.789,0.797,0.793,0.602,0.598,0.598,0.598,0.613,0.598,0.594,0.582,0.582,0.586
