time_stamp,x,y,z,sitting,standing,walking,grazing,z_score_x,z_score_y,z_score_z
2018-12-10 13:53:47,-0.398,0.816,0.379,0,1,0,0,-1.74,0.395,-0.445
2018-12-10 13:53:48,-0.375,0.828,0.387,0,1,0,0,-1.682,0.46,-0.389
2018-12-10 13:53:49,-0.301,0.848,0.418,0,1,0,0,-1.493,0.567,-0.172
2018-12-10 13:53:50,-0.297,0.855,0.422,0,1,0,0,-1.483,0.605,-0.144
2018-12-10 13:53:51,-0.324,0.867,0.434,0,1,0,0,-1.552,0.669,-0.06
2018-12-10 13:53:52,-0.242,0.867,0.43,0,1,0,0,-1.343,0.669,-0.088
2018-12-10 13:53:53,-0.227,0.848,0.418,0,1,0,0,-1.305,0.567,-0.172
2018-12-10 13:53:54,-0.219,0.855,0.465,0,1,0,0,-1.285,0.605,0.157
2018-12-10 13:53:55,-0.316,0.84,0.406,0,1,0,0,-1.532,0.524,-0.256
2018-12-10 13:53:56,-0.348,0.824,0.414,0,1,0,0,-1.613,0.438,-0.2
2018-12-10 13:53:57,-0.312,0.855,0.426,0,1,0,0,-1.521,0.605,-0.116
2018-12-10 13:53:58,-0.258,0.855,0.453,0,1,0,0,-1.384,0.605,0.073
2018-12-10 13:53:59,-0.328,0.84,0.41,0,1,0,0,-1.562,0.524,-0.228
2018-12-10 13:54:00,-0.32,0.836,0.422,0,1,0,0,-1.542,0.503,-0.144
2018-12-10 13:54:01,-0.355,0.863,0.395,0,1,0,0,-1.631,0.648,-0.333
2018-12-10 13:54:02,-0.324,0.867,0.398,0,1,0,0,-1.552,0.669,-0.312
2018-12-10 13:54:03,-0.301,0.852,0.387,0,1,0,0,-1.493,0.588,-0.389
2018-12-10 13:54:04,-0.309,0.832,0.41,0,1,0,0,-1.514,0.481,-0.228
2018-12-10 13:54:05,-0.297,0.848,0.414,0,1,0,0,-1.483,0.567,-0.2
2018-12-10 13:54:06,-0.289,0.855,0.418,0,1,0,0,-1.463,0.605,-0.172
2018-12-10 13:54:07,-0.312,0.836,0.414,0,1,0,0,-1.521,0.503,-0.2
2018-12-10 13:54:08,-0.281,0.863,0.391,0,1,0,0,-1.443,0.648,-0.361
2018-12-10 13:54:09,-0.273,0.836,0.414,0,1,0,0,-1.422,0.503,-0.2
2018-12-10 13:54:10,-0.32,0.84,0.391,0,1,0,0,-1.542,0.524,-0.361
2018-12-10 13:54:11,-0.285,0.844,0.422,0,1,0,0,-1.453,0.546,-0.144
2018-12-10 13:54:12,-0.246,0.828,0.418,0,1,0,0,-1.354,0.46,-0.172
2018-12-10 13:54:13,-0.289,0.859,0.414,0,1,0,0,-1.463,0.626,-0.2
2018-12-10 13:54:14,-0.242,0.879,0.406,0,1,0,0,-1.343,0.734,-0.256
2018-12-10 13:54:15,-0.254,0.832,0.422,0,1,0,0,-1.374,0.481,-0.144
2018-12-10 13:54:16,-0.281,0.867,0.43,0,1,0,0,-1.443,0.669,-0.088
2018-12-10 13:54:17,-0.277,0.848,0.406,0,1,0,0,-1.432,0.567,-0.256
2018-12-10 13:54:18,-0.215,0.852,0.426,0,1,0,0,-1.275,0.588,-0.116
2018-12-10 13:54:19,-0.258,0.828,0.438,0,1,0,0,-1.384,0.46,-0.032
2018-12-10 13:54:20,-0.25,0.855,0.43,0,1,0,0,-1.364,0.605,-0.088
2018-12-10 13:54:21,-0.254,0.867,0.434,0,1,0,0,-1.374,0.669,-0.06
2018-12-10 13:54:22,-0.289,0.824,0.43,0,1,0,0,-1.463,0.438,-0.088
2018-12-10 13:54:23,-0.262,0.879,0.43,0,1,0,0,-1.394,0.734,-0.088
2018-12-10 13:54:24,-0.242,0.844,0.438,0,1,0,0,-1.343,0.546,-0.032
2018-12-10 13:54:25,-0.262,0.871,0.457,0,1,0,0,-1.394,0.691,0.101
2018-12-10 13:54:26,-0.266,0.844,0.414,0,1,0,0,-1.404,0.546,-0.2
2018-12-10 13:54:27,-0.316,0.816,0.43,0,1,0,0,-1.532,0.395,-0.088
2018-12-10 13:54:28,-0.32,0.867,0.465,0,1,0,0,-1.542,0.669,0.157
2018-12-10 13:54:29,-0.305,0.832,0.414,0,1,0,0,-1.504,0.481,-0.2
2018-12-10 13:54:30,-0.316,0.82,0.426,0,1,0,0,-1.532,0.417,-0.116
2018-12-10 13:54:31,-0.277,0.863,0.449,0,1,0,0,-1.432,0.648,0.045
2018-12-10 13:54:32,-0.297,0.809,0.465,0,1,0,0,-1.483,0.357,0.157
2018-12-10 13:54:33,-0.273,0.863,0.449,0,1,0,0,-1.422,0.648,0.045
2018-12-10 13:54:34,-0.289,0.832,0.453,0,1,0,0,-1.463,0.481,0.073
2018-12-10 13:54:35,-0.281,0.848,0.434,0,1,0,0,-1.443,0.567,-0.06
2018-12-10 13:54:36,-0.297,0.832,0.434,0,1,0,0,-1.483,0.481,-0.06
2018-12-10 13:54:37,-0.289,0.828,0.449,0,1,0,0,-1.463,0.46,0.045
2018-12-10 13:54:38,-0.289,0.84,0.445,0,1,0,0,-1.463,0.524,0.017
2018-12-10 13:54:39,-0.273,0.871,0.438,0,1,0,0,-1.422,0.691,-0.032
2018-12-10 13:54:40,-0.27,0.828,0.449,0,1,0,0,-1.415,0.46,0.045
2018-12-10 13:54:41,-0.266,0.859,0.418,0,1,0,0,-1.404,0.626,-0.172
2018-12-10 13:54:42,-0.297,0.871,0.43,0,1,0,0,-1.483,0.691,-0.088
2018-12-10 13:54:43,-0.23,0.871,0.438,0,1,0,0,-1.313,0.691,-0.032
2018-12-10 13:54:44,-0.234,0.832,0.43,0,1,0,0,-1.323,0.481,-0.088
2018-12-10 13:54:45,-0.172,0.852,0.453,0,1,0,0,-1.165,0.588,0.073
2018-12-10 13:54:46,-0.145,0.855,0.465,0,1,0,0,-1.097,0.605,0.157
2018-12-10 13:54:47,-0.199,0.828,0.453,0,1,0,0,-1.234,0.46,0.073
2018-12-10 13:54:48,-0.223,0.836,0.5,0,1,0,0,-1.295,0.503,0.402
2018-12-10 13:54:49,-0.234,0.852,0.484,0,1,0,0,-1.323,0.588,0.29
2018-12-10 13:54:50,-0.254,0.844,0.48,0,1,0,0,-1.374,0.546,0.262
2018-12-10 13:54:51,-0.254,0.848,0.457,0,1,0,0,-1.374,0.567,0.101
2018-12-10 13:54:52,-0.27,0.828,0.461,0,1,0,0,-1.415,0.46,0.129
2018-12-10 13:54:53,-0.187,0.801,0.465,0,1,0,0,-1.204,0.314,0.157
2018-12-10 13:54:54,-0.195,0.879,0.488,0,1,0,0,-1.224,0.734,0.318
