time_stamp,x,y,z,sitting,standing,walking,grazing
2018-12-10 13:56:39,0.723,0.543,0.406,0,1,0,0
2018-12-10 13:56:40,0.453,0.734,0.414,0,1,0,0
2018-12-10 13:56:41,0.273,0.801,0.527,0,1,0,0
2018-12-10 13:56:42,0.199,0.813,0.484,0,1,0,0
2018-12-10 13:56:43,0.125,0.719,0.508,0,1,0,0
2018-12-10 13:56:44,0.063,0.625,0.547,0,1,0,0
2018-12-10 13:56:45,-0.184,0.996,0.301,0,1,0,0
2018-12-10 13:56:46,-0.16,0.879,0.336,0,1,0,0
2018-12-10 13:56:47,-0.098,0.93,0.266,0,1,0,0
2018-12-10 13:56:48,-0.184,0.906,0.371,0,1,0,0
2018-12-10 13:56:49,-0.195,1.074,0.492,0,1,0,0
2018-12-10 13:56:50,-0.184,0.926,0.348,0,1,0,0
2018-12-10 13:56:51,-0.051,0.766,0.578,0,1,0,0
2018-12-10 13:56:52,-0.102,0.68,0.715,0,1,0,0
2018-12-10 13:56:53,-0.164,0.777,0.629,0,1,0,0
2018-12-10 13:56:54,0.492,0.676,0.465,0,1,0,0
2018-12-10 13:56:55,0.375,0.801,0.457,0,1,0,0
2018-12-10 13:56:56,0.313,0.836,0.453,0,1,0,0
2018-12-10 13:56:57,0.301,0.801,0.484,0,1,0,0
2018-12-10 13:56:58,0.273,0.824,0.477,0,1,0,0
2018-12-10 13:56:59,0.266,0.801,0.48,0,1,0,0
2018-12-10 13:57:00,0.258,0.828,0.449,0,1,0,0
2018-12-10 13:57:01,0.246,0.859,0.434,0,1,0,0
2018-12-10 13:57:02,0.203,0.859,0.438,0,1,0,0
2018-12-10 13:57:03,0.137,1.078,0.609,0,1,0,0
2018-12-10 13:57:04,0.066,0.891,0.535,0,1,0,0
2018-12-10 13:57:05,-0.105,0.945,0.223,0,1,0,0
2018-12-10 13:57:06,-0.227,1.059,0.461,0,1,0,0
2018-12-10 13:57:07,-0.305,0.914,0.301,0,1,0,0
2018-12-10 13:57:08,-0.41,0.992,0.449,0,1,0,0
2018-12-10 13:57:09,-0.383,0.898,0.352,0,1,0,0
2018-12-10 13:57:10,-0.281,0.945,0.309,0,1,0,0
2018-12-10 13:57:11,-0.344,0.863,0.359,0,1,0,0
2018-12-10 13:57:12,-0.289,0.883,0.324,0,1,0,0
2018-12-10 13:57:13,-0.34,0.93,0.453,0,1,0,0
2018-12-10 13:57:14,-0.406,0.887,0.387,0,1,0,0
2018-12-10 13:57:15,-0.246,0.844,0.297,0,1,0,0
2018-12-10 13:57:16,-0.305,0.867,0.387,0,1,0,0
2018-12-10 13:57:17,-0.227,0.809,0.293,0,1,0,0
2018-12-10 13:57:18,-0.312,0.883,0.395,0,1,0,0
2018-12-10 13:57:19,-0.18,0.844,0.355,0,1,0,0
2018-12-10 13:57:20,-0.316,0.91,0.387,0,1,0,0
2018-12-10 13:57:21,-0.27,0.805,0.344,0,1,0,0
2018-12-10 13:57:22,-0.246,0.828,0.398,0,1,0,0
2018-12-10 13:57:23,-0.266,0.887,0.371,0,1,0,0
2018-12-10 13:57:24,-0.312,0.758,0.398,0,1,0,0
2018-12-10 13:57:25,-0.336,0.859,0.355,0,1,0,0
2018-12-10 13:57:26,-0.363,0.824,0.41,0,1,0,0
2018-12-10 13:57:27,-0.215,0.789,0.32,0,1,0,0
2018-12-10 13:57:28,-0.207,0.891,0.324,0,1,0,0
2018-12-10 13:57:29,-0.215,0.949,0.453,0,1,0,0
2018-12-10 13:57:30,-0.156,0.902,0.297,0,1,0,0
2018-12-10 13:57:31,-0.219,0.832,0.316,0,1,0,0
2018-12-10 13:57:32,-0.293,0.887,0.355,0,1,0,0
2018-12-10 13:57:33,-0.316,0.84,0.391,0,1,0,0
2018-12-10 13:57:34,-0.223,0.895,0.414,0,1,0,0
2018-12-10 13:57:35,-0.23,0.863,0.438,0,1,0,0
2018-12-10 13:57:36,-0.297,0.883,0.402,0,1,0,0
2018-12-10 13:57:37,-0.195,0.832,0.402,0,1,0,0
2018-12-10 13:57:38,-0.219,0.867,0.422,0,1,0,0
2018-12-10 13:57:39,-0.254,0.863,0.438,0,1,0,0
2018-12-10 13:57:40,-0.277,0.836,0.402,0,1,0,0
2018-12-10 13:57:41,-0.234,0.949,0.473,0,1,0,0
2018-12-10 13:57:42,-0.23,0.805,0.402,0,1,0,0
2018-12-10 13:57:43,-0.238,0.934,0.445,0,1,0,0
2018-12-10 13:57:44,-0.098,0.785,0.305,0,1,0,0
2018-12-10 13:57:45,-0.324,0.863,0.465,0,1,0,0
2018-12-10 13:57:46,-0.211,0.926,0.414,0,1,0,0
2018-12-10 13:57:47,-0.148,0.836,0.316,0,1,0,0
2018-12-10 13:57:48,-0.238,0.832,0.434,0,1,0,0
2018-12-10 13:57:49,-0.207,0.855,0.391,0,1,0,0
2018-12-10 13:57:50,-0.238,1.02,0.445,0,1,0,0
2018-12-10 13:57:51,-0.242,0.973,0.523,0,1,0,0
2018-12-10 13:57:52,-0.223,0.895,0.461,0,1,0,0
2018-12-10 13:57:53,-0.18,0.871,0.418,0,1,0,0
2018-12-10 13:57:54,-0.207,0.871,0.344,0,1,0,0
2018-12-10 13:57:55,-0.168,0.844,0.5,0,1,0,0
2018-12-10 13:57:56,-0.168,0.848,0.41,0,1,0,0
2018-12-10 13:57:57,-0.16,0.723,0.266,0,1,0,0
2018-12-10 13:57:58,-0.172,0.871,0.469,0,1,0,0
2018-12-10 13:57:59,-0.191,1.0,0.461,0,1,0,0
2018-12-10 13:58:00,-0.18,0.813,0.484,0,1,0,0
2018-12-10 13:58:01,-0.234,0.887,0.41,0,1,0,0
2018-12-10 13:58:02,-0.113,0.836,0.348,0,1,0,0
2018-12-10 13:58:03,-0.156,0.848,0.453,0,1,0,0
2018-12-10 13:58:04,-0.184,0.902,0.32,0,1,0,0
2018-12-10 13:58:05,-0.234,0.887,0.5,0,1,0,0
2018-12-10 13:58:06,-0.199,0.871,0.266,0,1,0,0
2018-12-10 13:58:07,-0.23,0.883,0.359,0,1,0,0
2018-12-10 13:58:08,-0.215,0.934,0.293,0,1,0,0
2018-12-10 13:58:09,-0.281,0.875,0.41,0,1,0,0
2018-12-10 13:58:10,-0.301,1.023,0.43,0,1,0,0
2018-12-10 13:58:11,-0.121,0.926,0.613,0,1,0,0
2018-12-10 13:58:12,-0.121,0.734,0.609,0,1,0,0
2018-12-10 13:58:13,-0.074,0.789,0.57,0,1,0,0
2018-12-10 13:58:14,-0.137,0.824,0.5,0,1,0,0
2018-12-10 13:58:15,-0.117,0.824,0.488,0,1,0,0
2018-12-10 13:58:16,-0.109,0.844,0.578,0,1,0,0
2018-12-10 13:58:17,-0.086,0.824,0.563,0,1,0,0
2018-12-10 13:58:18,-0.055,0.797,0.488,0,1,0,0
2018-12-10 13:58:19,-0.113,0.699,0.59,0,1,0,0
2018-12-10 13:58:20,-0.117,0.781,0.543,0,1,0,0
2018-12-10 13:58:21,-0.074,0.813,0.582,0,1,0,0
2018-12-10 13:58:22,-0.059,0.727,0.406,0,1,0,0
2018-12-10 13:58:23,-0.051,0.684,0.652,0,1,0,0
2018-12-10 13:58:24,-0.09,0.777,0.547,0,1,0,0
2018-12-10 13:58:25,-0.086,0.76,0.625,0,1,0,0
2018-12-10 13:58:26,-0.082,0.742,0.609,0,1,0,0
2018-12-10 13:58:27,-0.082,0.867,0.609,0,1,0,0
2018-12-10 13:58:28,-0.043,0.754,0.613,0,1,0,0
2018-12-10 13:58:29,-0.09,0.793,0.559,0,1,0,0
