x,y,z,sitting,standing,walking,grazing
-0.168,0.906,0.387,0,1,0,0
-0.172,0.883,0.406,0,1,0,0
-0.156,0.883,0.414,0,1,0,0
-0.137,0.902,0.402,0,1,0,0
-0.027,0.898,0.289,0,1,0,0
-0.031,0.945,0.516,0,1,0,0
-0.09,0.785,0.59,0,1,0,0
0.113,0.625,-0.07,0,1,0,0
0.254,0.852,0.402,0,1,0,0
0.477,0.836,0.504,0,1,0,0
0.723,0.543,0.406,0,1,0,0
0.453,0.734,0.414,0,1,0,0
0.273,0.801,0.527,0,1,0,0
0.215,0.813,0.484,0,1,0,0
0.125,0.848,0.508,0,1,0,0
0.063,0.625,0.547,0,1,0,0
-0.184,0.996,0.301,0,1,0,0
-0.16,0.879,0.336,0,1,0,0
-0.098,0.93,0.266,0,1,0,0
-0.184,0.906,0.371,0,1,0,0
-0.195,1.074,0.492,0,1,0,0
-0.184,0.926,0.348,0,1,0,0
-0.051,0.766,0.578,0,1,0,0
-0.102,0.68,0.715,0,1,0,0
-0.164,0.777,0.629,0,1,0,0
0.492,0.676,0.465,0,1,0,0
0.375,0.801,0.457,0,1,0,0
0.313,0.836,0.453,0,1,0,0
0.301,0.801,0.484,0,1,0,0
0.273,0.824,0.477,0,1,0,0
0.266,0.801,0.48,0,1,0,0
0.258,0.828,0.449,0,1,0,0
0.246,0.859,0.434,0,1,0,0
0.203,0.859,0.438,0,1,0,0
0.137,1.078,0.609,0,1,0,0
0.066,0.891,0.535,0,1,0,0
-0.105,0.945,0.223,0,1,0,0
-0.227,1.059,0.461,0,1,0,0
-0.305,0.914,0.301,0,1,0,0
-0.41,0.992,0.449,0,1,0,0
-0.383,0.898,0.352,0,1,0,0
-0.281,0.945,0.309,0,1,0,0
-0.344,0.863,0.359,0,1,0,0
-0.289,0.883,0.324,0,1,0,0
-0.34,0.93,0.453,0,1,0,0
-0.406,0.887,0.387,0,1,0,0
-0.246,0.844,0.297,0,1,0,0
-0.305,0.867,0.387,0,1,0,0
-0.227,0.809,0.293,0,1,0,0
-0.312,0.883,0.395,0,1,0,0
-0.18,0.844,0.355,0,1,0,0
-0.316,0.91,0.387,0,1,0,0
-0.27,0.805,0.344,0,1,0,0
-0.246,0.828,0.398,0,1,0,0
-0.266,0.887,0.371,0,1,0,0
-0.312,0.758,0.398,0,1,0,0
-0.336,0.859,0.355,0,1,0,0
-0.363,0.824,0.41,0,1,0,0
-0.215,0.789,0.32,0,1,0,0
-0.207,0.891,0.324,0,1,0,0
-0.215,0.949,0.453,0,1,0,0
-0.156,0.902,0.297,0,1,0,0
-0.219,0.832,0.316,0,1,0,0
-0.293,0.887,0.355,0,1,0,0
-0.316,0.84,0.391,0,1,0,0
-0.223,0.895,0.414,0,1,0,0
-0.23,0.863,0.438,0,1,0,0
-0.297,0.883,0.402,0,1,0,0
-0.195,0.832,0.402,0,1,0,0
-0.219,0.867,0.422,0,1,0,0
-0.254,0.863,0.438,0,1,0,0
-0.277,0.836,0.402,0,1,0,0
-0.234,0.949,0.473,0,1,0,0
-0.23,0.805,0.402,0,1,0,0
-0.238,0.934,0.445,0,1,0,0
-0.098,0.785,0.305,0,1,0,0
-0.324,0.863,0.465,0,1,0,0
-0.211,0.926,0.414,0,1,0,0
-0.148,0.836,0.316,0,1,0,0
-0.238,0.832,0.434,0,1,0,0
-0.207,0.855,0.391,0,1,0,0
-0.238,1.02,0.445,0,1,0,0
-0.242,0.973,0.523,0,1,0,0
-0.223,0.895,0.461,0,1,0,0
-0.18,0.871,0.418,0,1,0,0
-0.207,0.871,0.344,0,1,0,0
-0.168,0.844,0.5,0,1,0,0
-0.168,0.848,0.41,0,1,0,0
-0.16,0.723,0.266,0,1,0,0
-0.172,0.871,0.469,0,1,0,0
-0.191,1.0,0.461,0,1,0,0
-0.18,0.813,0.484,0,1,0,0
-0.234,0.887,0.41,0,1,0,0
-0.113,0.836,0.348,0,1,0,0
-0.156,0.848,0.453,0,1,0,0
-0.184,0.902,0.32,0,1,0,0
-0.234,0.809,0.5,0,1,0,0
-0.199,0.871,0.266,0,1,0,0
-0.23,0.883,0.359,0,1,0,0
-0.215,0.934,0.293,0,1,0,0
-0.281,0.875,0.41,0,1,0,0
-0.301,1.023,0.43,0,1,0,0
-0.121,0.926,0.613,0,1,0,0
-0.121,0.734,0.609,0,1,0,0
-0.074,0.789,0.57,0,1,0,0
-0.137,0.824,0.5,0,1,0,0
-0.117,0.824,0.488,0,1,0,0
-0.109,0.844,0.578,0,1,0,0
-0.086,0.824,0.563,0,1,0,0
-0.055,0.797,0.488,0,1,0,0
-0.113,0.699,0.59,0,1,0,0
-0.117,0.781,0.543,0,1,0,0
-0.074,0.813,0.582,0,1,0,0
-0.059,0.727,0.406,0,1,0,0
-0.051,0.684,0.652,0,1,0,0
-0.09,0.777,0.547,0,1,0,0
-0.086,0.832,0.625,0,1,0,0
-0.082,0.742,0.609,0,1,0,0
-0.082,0.867,0.609,0,1,0,0
-0.043,0.754,0.613,0,1,0,0
-0.09,0.793,0.559,0,1,0,0
-0.078,0.668,0.453,0,1,0,0
0.305,0.813,0.477,0,1,0,0
0.34,0.75,0.43,0,1,0,0
0.258,0.773,0.512,0,1,0,0
0.215,0.918,0.691,0,1,0,0
0.188,0.809,0.531,0,1,0,0
